,name,time_to_no_change,percentage_adopting,clustering_coefficient,density,avg_path_len
0,random_early_adopters,1,0.05679012345679012,0.20363288718929254,0.06512345679012346,3.132716049382716
1,random_early_adopters,3,0.05375,0.207492795389049,0.06613924050632912,3.1860759493670887
2,get_nHighestDegreeNodes,7,0.0975,0.1277258566978193,0.06487341772151899,3.130379746835443
3,get_nHighestDegreeNodes,16,0.13,0.13327289211242066,0.06772151898734177,2.9126582278481012
4,get_nLowestDegreeNodes,3,0.05625,0.14423076923076922,0.06329113924050633,3.302848101265823
5,get_nLowestDegreeNodes,2,0.05125,0.13609467455621302,0.06329113924050633,3.039240506329114
6,eig_centrality_early_adopters,2,0.06875,0.17158176943699732,0.06867088607594937,3.0860759493670886
7,eig_centrality_early_adopters,23,0.10379746835443036,0.14261884904086738,0.07010710808179163,2.920480363518338
